"","fips","aw_days","wd_days","po_days"
"1",6001,16,0,0
"2",6005,38,4,0
"3",6007,58,43,26
"4",6009,52,14,36
"5",6011,50,87,0
"6",6013,30,0,0
"7",6015,2,0,0
"8",6017,27,0,48
"9",6019,52,0,0
"10",6021,52,63,8
"11",6023,3,0,24
"12",6025,94,0,0
"13",6027,65,79,0
"14",6029,59,0,0
"15",6031,66,0,0
"16",6033,43,98,0
"17",6035,2,7,0
"18",6037,47,51,0
"19",6039,52,0,17
"20",6041,6,0,13
"21",6043,45,56,3
"22",6045,14,63,24
"23",6047,58,0,0
"24",6049,3,0,0
"25",6053,35,0,28
"26",6055,36,15,33
"27",6057,27,0,29
"28",6059,48,40,0
"29",6061,28,0,0
"30",6063,6,43,1
"31",6065,70,63,0
"32",6067,35,2,5
"33",6069,58,0,0
"34",6071,69,8,0
"35",6073,47,7,0
"36",6075,3,0,0
"37",6077,38,14,0
"38",6079,52,2,8
"39",6081,8,0,23
"40",6083,22,24,41
"41",6085,42,3,0
"42",6087,8,0,29
"43",6089,38,97,30
"44",6091,1,0,6
"45",6093,16,17,0
"46",6095,36,22,0
"47",6097,8,19,46
"48",6099,50,14,0
"49",6101,42,0,0
"50",6103,58,6,25
"51",6105,19,78,0
"52",6107,45,0,0
"53",6109,1,41,39
"54",6111,32,25,55
"55",6113,42,23,0
"56",6115,50,3,0
