"","fips","wd_aw","wd_po","po_aw","wd_aw_po","aw_days","wd_days","po_days","name","pop","svi"
"1",6001,0,0,0,0,16,0,0,"Alameda",1643700,0.3684
"2",6003,0,0,0,0,0,0,0,"Alpine",1146,0.5789
"3",6005,1,0,0,0,38,4,0,"Amador",37829,0.2807
"4",6007,0,0,3,0,58,43,26,"Butte",227075,0.614
"5",6009,3,0,0,0,52,14,36,"Calaveras",45235,0.1053
"6",6011,13,0,0,0,50,87,0,"Colusa",21464,0.6316
"7",6013,0,0,0,0,30,0,0,"Contra Costa",1133247,0.1754
"8",6015,0,0,0,0,2,0,0,"Del Norte",27424,0.8772
"9",6017,0,0,0,0,27,0,48,"El Dorado",186661,0.0351
"10",6019,0,0,0,0,52,0,0,"Fresno",978130,0.9298
"11",6021,7,0,0,0,52,63,8,"Glenn",27897,0.6842
"12",6023,0,0,0,0,3,0,24,"Humboldt",135768,0.5965
"13",6025,0,0,0,0,94,0,0,"Imperial",180216,1
"14",6027,3,0,0,0,65,79,0,"Inyo",18085,0.386
"15",6029,0,0,0,0,59,0,0,"Kern",883053,0.9649
"16",6031,0,0,0,0,66,0,0,"Kings",150075,0.8947
"17",6033,14,0,0,0,43,98,0,"Lake",64148,0.7193
"18",6035,0,0,0,0,2,7,0,"Lassen",31185,0.4035
"19",6037,0,0,0,0,47,51,0,"Los Angeles",10098052,0.7719
"20",6039,0,0,0,0,52,0,17,"Madera",155013,0.9123
"21",6041,0,0,0,0,6,0,13,"Marin",260295,0.0877
"22",6043,22,3,1,1,45,56,3,"Mariposa",17540,0.2456
"23",6045,1,1,0,0,14,63,24,"Mendocino",87422,0.7018
"24",6047,0,0,0,0,58,0,0,"Merced",269075,0.9825
"25",6049,0,0,0,0,3,0,0,"Modoc",8938,0.5263
"26",6051,0,0,0,0,0,0,0,"Mono",14174,0.0702
"27",6053,0,0,0,0,35,0,28,"Monterey",433212,0.7368
"28",6055,1,0,0,0,36,15,33,"Napa",140530,0.3333
"29",6057,0,0,0,0,27,0,29,"Nevada",99092,0.0526
"30",6059,7,0,0,0,48,40,0,"Orange",3164182,0.3158
"31",6061,0,0,0,0,28,0,0,"Placer",380077,0.0175
"32",6063,0,0,0,0,6,43,1,"Plumas",18699,0.1404
"33",6065,20,0,0,0,70,63,0,"Riverside",2383286,0.6491
"34",6067,1,0,0,0,35,2,5,"Sacramento",1510023,0.5614
"35",6069,0,0,0,0,58,0,0,"San Benito",59416,0.3509
"36",6071,0,0,0,0,69,8,0,"San Bernardino",2135413,0.8246
"37",6073,4,0,0,0,47,7,0,"San Diego",3302833,0.4211
"38",6075,0,0,0,0,3,0,0,"San Francisco",870044,0.2632
"39",6077,1,0,0,0,38,14,0,"San Joaquin",732212,0.7895
"40",6079,0,0,0,0,52,2,8,"San Luis Obispo",281455,0.1579
"41",6081,0,0,1,0,8,0,23,"San Mateo",765935,0.1228
"42",6083,4,1,0,0,22,24,41,"Santa Barbara",443738,0.6667
"43",6085,1,0,0,0,42,3,0,"Santa Clara",1922200,0.2281
"44",6087,0,0,0,0,8,0,29,"Santa Cruz",273765,0.4561
"45",6089,19,2,0,0,38,97,30,"Shasta",179085,0.4737
"46",6091,0,0,0,0,1,0,6,"Sierra",2930,0
"47",6093,6,0,0,0,16,17,0,"Siskiyou",43540,0.5088
"48",6095,1,0,0,0,36,22,0,"Solano",438530,0.4386
"49",6097,0,15,0,0,8,19,46,"Sonoma",501317,0.2105
"50",6099,2,0,0,0,50,14,0,"Stanislaus",539301,0.7544
"51",6101,0,0,0,0,42,0,0,"Sutter",95872,0.807
"52",6103,1,1,3,0,58,6,25,"Tehama",63373,0.8596
"53",6105,7,0,0,0,19,78,0,"Trinity",12862,0.4912
"54",6107,0,0,0,0,45,0,0,"Tulare",460477,0.9474
"55",6109,1,0,0,0,1,41,39,"Tuolumne",53932,0.193
"56",6111,0,6,2,0,32,25,55,"Ventura",848112,0.2982
"57",6113,4,0,0,0,42,23,0,"Yolo",214977,0.5439
"58",6115,0,0,0,0,50,3,0,"Yuba",75493,0.8421
