"","county_name","svi","aw_days","wd_days","po_days","aw_wd","wd_po","aw_po","aw_wd_po"
"1","Imperial",1,94,0,0,0,0,0,0
"2","Merced",0.9825,58,0,0,0,0,0,0
"3","Kern",0.9649,59,0,0,0,0,0,0
"4","Tulare",0.9474,45,0,0,0,0,0,0
"5","Fresno",0.9298,52,0,0,0,0,0,0
"6","Madera",0.9123,52,0,17,0,0,0,0
"7","Kings",0.8947,66,0,0,0,0,0,0
"8","Del Norte",0.8772,2,0,0,0,0,0,0
"9","Tehama",0.8596,58,6,25,1,1,3,0
"10","Yuba",0.8421,50,3,0,0,0,0,0
"11","San Bernardino",0.8246,69,8,0,0,0,0,0
"12","Sutter",0.807,42,0,0,0,0,0,0
"13","San Joaquin",0.7895,38,14,0,1,0,0,0
"14","Los Angeles",0.7719,47,51,0,0,0,0,0
"15","Stanislaus",0.7544,50,14,0,2,0,0,0
"16","Monterey",0.7368,35,0,28,0,0,0,0
"17","Lake",0.7193,43,98,0,14,0,0,0
"18","Mendocino",0.7018,14,63,24,1,1,0,0
"19","Glenn",0.6842,52,63,8,7,0,0,0
"20","Santa Barbara",0.6667,22,24,41,4,1,0,0
"21","Riverside",0.6491,70,63,0,20,0,0,0
"22","Colusa",0.6316,50,87,0,13,0,0,0
"23","Butte",0.614,58,43,26,0,0,3,0
"24","Humboldt",0.5965,3,0,24,0,0,0,0
"25","Alpine",0.5789,0,0,0,0,0,0,0
"26","Sacramento",0.5614,35,2,5,1,0,0,0
"27","Yolo",0.5439,42,23,0,4,0,0,0
"28","Modoc",0.5263,3,0,0,0,0,0,0
"29","Siskiyou",0.5088,16,17,0,6,0,0,0
"30","Trinity",0.4912,19,78,0,7,0,0,0
"31","Shasta",0.4737,38,97,30,19,2,0,0
"32","Santa Cruz",0.4561,8,0,29,0,0,0,0
"33","Solano",0.4386,36,22,0,1,0,0,0
"34","San Diego",0.4211,47,7,0,4,0,0,0
"35","Lassen",0.4035,2,7,0,0,0,0,0
"36","Inyo",0.386,65,79,0,3,0,0,0
"37","Alameda",0.3684,16,0,0,0,0,0,0
"38","San Benito",0.3509,58,0,0,0,0,0,0
"39","Napa",0.3333,36,15,33,1,0,0,0
"40","Orange",0.3158,48,40,0,7,0,0,0
"41","Ventura",0.2982,32,25,55,0,6,2,0
"42","Amador",0.2807,38,4,0,1,0,0,0
"43","San Francisco",0.2632,3,0,0,0,0,0,0
"44","Mariposa",0.2456,45,56,3,22,3,1,1
"45","Santa Clara",0.2281,42,3,0,1,0,0,0
"46","Sonoma",0.2105,8,19,46,0,15,0,0
"47","Tuolumne",0.193,1,41,39,1,0,0,0
"48","Contra Costa",0.1754,30,0,0,0,0,0,0
"49","San Luis Obispo",0.1579,52,2,8,0,0,0,0
"50","Plumas",0.1404,6,43,1,0,0,0,0
"51","San Mateo",0.1228,8,0,23,0,0,1,0
"52","Calaveras",0.1053,52,14,36,3,0,0,0
"53","Marin",0.0877,6,0,13,0,0,0,0
"54","Mono",0.0702,0,0,0,0,0,0,0
"55","Nevada",0.0526,27,0,29,0,0,0,0
"56","El Dorado",0.0351,27,0,48,0,0,0,0
"57","Placer",0.0175,28,0,0,0,0,0,0
"58","Sierra",0,1,0,6,0,0,0,0
